crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00439665,0.0045413,0.0047347,0.0049281,0.0053326,0.0057371,0.006121,0.0065049,0.0068102,0.0071155,0.007576,0.0080365,0.0082904,0.0085443,0.00891355,0.0092828,0.0097284,0.010174,0.0105885,0.011003,0.011288,0.011573,0.0117765,0.01198,0.012091,0.012202,0.0122985,0.012395,0.012199,0.012003,0.0119705,0.011938,0.011535,0.011132,0.010604,0.010076,0.0098058,0.0095356,0.0091342,0.0087328,0.0081835,0.0076342,0.0074169,0.0071996,0.006834,0.0064684,0.00598545,0.0055025,0.00517095,0.0048394,0.0046277,0.004416,0.0043753
-120,0.0046363,0.0048244,0.0050125,0.0053778,0.0057431,0.00619785,0.0066526,0.00697275,0.0072929,0.00764155,0.0079902,0.00847645,0.0089627,0.0092672,0.0095717,0.00995935,0.010347,0.0108445,0.011342,0.0116185,0.011895,0.01235,0.012805,0.0129975,0.01319,0.013177,0.013164,0.01318,0.013196,0.01316,0.013124,0.0126825,0.012241,0.011814,0.011387,0.011083,0.010779,0.0101346,0.0094902,0.00916525,0.0088403,0.0083532,0.0078661,0.0074856,0.0071051,0.0067513,0.0063975,0.00593175,0.005466,0.0051544,0.0048428,0.004717,0.0045912
-115,0.0050307,0.0051474,0.00551715,0.0058869,0.0062829,0.0066789,0.00709755,0.0075162,0.0080011,0.008486,0.00879615,0.0091063,0.00948515,0.009864,0.010371,0.010878,0.011303,0.011728,0.012157,0.012586,0.013022,0.013458,0.0136035,0.013749,0.0139285,0.014108,0.01425,0.014392,0.014261,0.01413,0.013931,0.013732,0.0132005,0.012669,0.01227,0.011871,0.011304,0.010737,0.0103096,0.0098822,0.0095099,0.0091376,0.00872705,0.0083165,0.0076667,0.0070169,0.0066982,0.0063795,0.00600255,0.0056256,0.00513025,0.0046349,0.0048418
-110,0.0054251,0.0056415,0.0058579,0.0063173,0.0067767,0.00731925,0.0078618,0.00826875,0.0086757,0.00906295,0.0094502,0.0099181,0.010386,0.0106855,0.010985,0.011477,0.011969,0.0125185,0.013068,0.0134865,0.013905,0.0143325,0.01476,0.014826,0.014892,0.0151635,0.015435,0.01544,0.015445,0.0151,0.014755,0.0145635,0.014372,0.0138875,0.013403,0.0127425,0.012082,0.011588,0.011094,0.010674,0.010254,0.00977745,0.0093009,0.00883255,0.0083642,0.0077417,0.0071192,0.00684,0.0065608,0.0060693,0.0055778,0.0053351,0.0050924
-105,0.0057072,0.0060039,0.0063142,0.0066245,0.0072853,0.0079461,0.0085705,0.0091949,0.00965745,0.01012,0.010462,0.010804,0.0112655,0.011727,0.0121685,0.01261,0.0131835,0.013757,0.0143635,0.01497,0.0153375,0.015705,0.0159575,0.01621,0.016501,0.016792,0.0168655,0.016939,0.0166895,0.01644,0.0161665,0.015893,0.0155145,0.015136,0.014482,0.013828,0.01322,0.012612,0.01217,0.011728,0.011141,0.010554,0.0101428,0.0097316,0.00919855,0.0086655,0.0080663,0.0074671,0.0068522,0.0062373,0.00601195,0.0057866,0.0053872
-100,0.0059893,0.00640545,0.0068216,0.0073154,0.0078092,0.0085531,0.009297,0.010278,0.011259,0.011804,0.012349,0.0127545,0.01316,0.013706,0.014252,0.0146665,0.015081,0.01592,0.016759,0.0172615,0.017764,0.018174,0.018584,0.01898,0.019376,0.0194255,0.019475,0.019504,0.019533,0.019287,0.019041,0.0185475,0.018054,0.0175365,0.017019,0.0161315,0.015244,0.0146205,0.013997,0.0135385,0.01308,0.0125355,0.011991,0.011299,0.010607,0.0096111,0.0086152,0.0078936,0.007172,0.00681695,0.0064619,0.00607195,0.005682
-95,0.00628545,0.0066644,0.00723445,0.0078045,0.00843865,0.0090728,0.0102234,0.011374,0.012689,0.014004,0.0145705,0.015137,0.0156915,0.016246,0.016826,0.017406,0.018284,0.019162,0.020051,0.02094,0.021581,0.022222,0.0225405,0.022859,0.0229935,0.023128,0.0231325,0.023137,0.023083,0.023029,0.0225365,0.022044,0.021399,0.020754,0.0199895,0.019225,0.0183015,0.017378,0.016596,0.015814,0.0152385,0.014663,0.013881,0.013099,0.0116515,0.010204,0.0092893,0.0083746,0.00782645,0.0072783,0.0067925,0.0063067,0.0059914
-90,0.0065816,0.00697805,0.0073745,0.00802165,0.0086688,0.0096844,0.0107,0.012766,0.014832,0.0158,0.016768,0.0174495,0.018131,0.0190115,0.019892,0.0209225,0.021953,0.02295,0.023947,0.0251065,0.026266,0.026898,0.02753,0.0278325,0.028135,0.028176,0.028217,0.0282205,0.028224,0.027783,0.027342,0.0265985,0.025855,0.0250095,0.024164,0.022987,0.02181,0.02047,0.01913,0.018362,0.017594,0.016817,0.01604,0.014564,0.013088,0.011367,0.009646,0.008937,0.008228,0.0074211,0.0066142,0.0064575,0.0063008
-85,0.00680985,0.0072081,0.0076463,0.0080845,0.00904675,0.010009,0.0114965,0.012984,0.0150605,0.017137,0.0180675,0.018998,0.020147,0.021296,0.022658,0.02402,0.0256635,0.027307,0.028871,0.030435,0.0313735,0.032312,0.032965,0.033618,0.0340685,0.034519,0.034512,0.034505,0.0340275,0.03355,0.0329085,0.032267,0.0312575,0.030248,0.0285475,0.026847,0.025193,0.023539,0.022005,0.020471,0.019192,0.017913,0.0169075,0.015902,0.0137245,0.011547,0.01035095,0.0091549,0.00841115,0.0076674,0.00722225,0.0067771,0.0063607
-80,0.0070381,0.0073157,0.0075933,0.0084476,0.0093019,0.01023345,0.011165,0.0139335,0.016702,0.017763,0.018824,0.02016,0.021496,0.023427,0.025358,0.027918,0.030478,0.0331885,0.035899,0.0377365,0.039574,0.0406455,0.041717,0.042382,0.043047,0.043343,0.043639,0.0433285,0.043018,0.042414,0.04181,0.0407975,0.039785,0.037705,0.035625,0.033112,0.030599,0.027772,0.024945,0.0227035,0.020462,0.019289,0.018116,0.0165115,0.014907,0.0124925,0.010078,0.00939855,0.0087191,0.00800955,0.0073,0.0068603,0.0064206
